heap,n,full,last
fibonacci,512,100889,214
fibonacci,512,97675,214
fibonacci,512,96837,200
fibonacci,512,98277,230
fibonacci,512,101342,201
fibonacci,512,98117,212
fibonacci,512,100941,203
fibonacci,512,101126,197
fibonacci,512,97581,211
fibonacci,512,100415,214
fibonacci,512,99897,212
fibonacci,512,99051,191
fibonacci,512,98541,213
fibonacci,512,97684,210
fibonacci,512,101691,221
fibonacci,512,98593,198
fibonacci,512,98839,199
fibonacci,512,100553,199
fibonacci,512,102043,217
fibonacci,1024,217909,238
fibonacci,1024,197247,196
fibonacci,1024,202927,201
fibonacci,1024,196312,226
fibonacci,1024,195901,212
fibonacci,1024,198785,217
fibonacci,1024,199595,201
fibonacci,1024,194704,211
fibonacci,1024,198591,201
fibonacci,1024,200410,194
fibonacci,1024,196639,209
fibonacci,1024,194895,215
fibonacci,1024,196318,210
fibonacci,1024,195248,196
fibonacci,1024,196305,197
fibonacci,1024,203162,208
fibonacci,1024,201163,182
fibonacci,1024,199293,214
fibonacci,1024,199897,200
fibonacci,1024,195400,191
fibonacci,1024,195589,198
fibonacci,1024,201165,201
fibonacci,1024,198729,216
fibonacci,1024,196743,206
fibonacci,1024,206552,198
fibonacci,1024,196041,194
fibonacci,1024,199089,201
fibonacci,1024,203106,198
fibonacci,1024,194108,199
fibonacci,1024,199637,214
fibonacci,2048,43483379,275
fibonacci,2048,395152,254
fibonacci,2048,395250,207
fibonacci,2048,392420,214
fibonacci,2048,398348,212
fibonacci,2048,400293,199
fibonacci,2048,397629,213
fibonacci,2048,391654,208
fibonacci,2048,405494,218
fibonacci,2048,404329,223
fibonacci,2048,391079,198
fibonacci,2048,391392,209
fibonacci,2048,402755,203
fibonacci,2048,394064,196
fibonacci,2048,403509,209
fibonacci,2048,396536,197
fibonacci,2048,393245,192
fibonacci,2048,396567,220
fibonacci,2048,393665,221
fibonacci,2048,403631,204
fibonacci,2048,391550,235
fibonacci,2048,394609,219
fibonacci,2048,391182,215
fibonacci,2048,392742,214
fibonacci,2048,395721,207
fibonacci,2048,405972,215
fibonacci,2048,397822,199
fibonacci,2048,405073,203
fibonacci,2048,395168,217
fibonacci,2048,390799,192
fibonacci,4096,815211,233
fibonacci,4096,787414,217
fibonacci,4096,790378,215
fibonacci,4096,781827,194
fibonacci,4096,789618,231
fibonacci,4096,800359,199
fibonacci,4096,791363,213
fibonacci,4096,799647,211
fibonacci,4096,791502,196
fibonacci,4096,788950,197
fibonacci,4096,775084,181
fibonacci,4096,807415,235
fibonacci,4096,797046,202
fibonacci,4096,799023,198
fibonacci,4096,790081,228
fibonacci,4096,791899,216
fibonacci,4096,798809,195
fibonacci,4096,806864,196
fibonacci,4096,786324,214
fibonacci,4096,793548,215
fibonacci,4096,791167,198
fibonacci,4096,787937,214
fibonacci,4096,787780,211
fibonacci,4096,792116,210
fibonacci,4096,780361,232
fibonacci,4096,786771,217
fibonacci,4096,788609,191
fibonacci,4096,799849,215
fibonacci,4096,792340,194
fibonacci,4096,790286,213
fibonacci,8192,1611943,231
fibonacci,8192,1592099,221
fibonacci,8192,1581136,212
fibonacci,8192,1572921,193
fibonacci,8192,1589493,197
fibonacci,8192,1613679,196
fibonacci,8192,1606241,219
fibonacci,8192,1590413,198
fibonacci,8192,1602309,202
fibonacci,8192,1591651,199
fibonacci,8192,1580489,212
fibonacci,8192,1587820,208
fibonacci,8192,1611216,215
fibonacci,8192,1586598,202
fibonacci,8192,1581350,207
fibonacci,8192,1590996,205
fibonacci,8192,1583385,200
fibonacci,8192,1577274,196
fibonacci,8192,1587364,223
fibonacci,8192,1590276,213
fibonacci,8192,1599614,226
fibonacci,8192,1599084,196
fibonacci,8192,1604100,214
fibonacci,8192,1583005,230
fibonacci,8192,1589551,204
fibonacci,8192,1577791,208
fibonacci,8192,1603671,188
fibonacci,8192,1578026,208
fibonacci,8192,1578266,217
fibonacci,8192,1591975,212
fibonacci,16384,3222661,204
fibonacci,16384,3164677,219
fibonacci,16384,3165677,224
fibonacci,16384,3170698,213
fibonacci,16384,3150097,226
fibonacci,16384,3127938,200
fibonacci,16384,3145715,197
fibonacci,16384,3178914,219
fibonacci,16384,3164438,197
fibonacci,16384,3167911,193
fibonacci,16384,3236605,196
fibonacci,16384,3157255,206
fibonacci,16384,3172786,208
fibonacci,16384,3161358,204
fibonacci,16384,3157457,196
fibonacci,16384,3173796,197
fibonacci,16384,3152319,204
fibonacci,16384,3113555,211
fibonacci,16384,3191438,195
fibonacci,16384,3193585,196
fibonacci,16384,3198589,208
fibonacci,16384,3143420,212
fibonacci,16384,3271159,206
fibonacci,16384,3136628,211
fibonacci,16384,3153965,219
fibonacci,16384,3158764,216
fibonacci,16384,3167846,215
fibonacci,16384,3191917,227
fibonacci,16384,3159548,209
fibonacci,16384,3180704,196
fibonacci,32768,6382889,239
fibonacci,32768,6344378,219
fibonacci,32768,6385776,176
fibonacci,32768,6358131,197
fibonacci,32768,6444288,218
fibonacci,32768,6450554,214
fibonacci,32768,6464139,201
fibonacci,32768,6468730,217
fibonacci,32768,6405180,223
fibonacci,32768,6403382,205
fibonacci,32768,6369027,209
fibonacci,32768,6413319,213
fibonacci,32768,6415708,215
fibonacci,32768,6419102,213
fibonacci,32768,6410464,183
fibonacci,32768,6424378,200
fibonacci,32768,6372428,225
fibonacci,32768,6388382,205
fibonacci,32768,6353830,229
fibonacci,32768,6302027,211
fibonacci,32768,6416162,215
fibonacci,32768,6395777,212
fibonacci,32768,6383723,218
fibonacci,32768,6390643,211
fibonacci,32768,6490676,205
fibonacci,32768,6402485,206
fibonacci,32768,6367135,209
